No,名前,評価,コメント
0001,フシギダネ,★★★☆☆,リアルなカエルに種が生えており、雰囲気は出ているが、種が小さくかわいさが足りない。
0002,フシギソウ,★★★★☆,リアルなカエルに蕾が生えており、雰囲気は出ている。
0003,フシギバナ,★★★★☆,リアルなカエルに大きな花が生えており、雰囲気は出ているが、何かが不足している。
0004,ヒトカゲ,★★★★☆,リアルな火のついたトカゲが表現できている。2足歩行が良かった。
0005,リザード,★★★☆☆,ヒトカゲの進化系と分かるが、なんか違った方向に向いている。頭のとんがりも足りていない。2足歩行であるべき。
0006,リザードン,★★☆☆☆,迫力満点なドラゴンになっているが、リザードンとは違うかな。火もついていないし色合いも違う。2足歩行であるべき。
0007,ゼニガメ,★★★★☆,リアルな子ガメを表現できており、良いと思うが2足歩行だったらよかった。
0008,カメール,★★★☆☆,リアルなカメであるが、カメールとは違うかも。頭部のヒラヒラが抜けている。2足歩行が良い。
0009,カメックス,★★★☆☆,もうちょっと迫力が欲しい。パイプが１本しかないので物足りない。2足歩行であるべき。
0010,キャタピー,★★★★★,幼虫の気持ち悪さを押さえつつ、リアリティを出せているので、完璧。
0011,トランセル,★★★★★,こちらもさなぎの気持ち悪さを押さえつつ、リアルな感じを完璧に表現できている。
0012,バタフリー,★★★★☆,完璧に近いが、ちょっと気持ち悪さが出てしまった。もうちょっとかわいい方が良い。
0013,ビードル,★★★☆☆,なんかコミカルになりすぎて、おいしそうなお菓子みたいになってしまった。
0014,コクーン,★★★☆☆,同じくコミカルになりすぎて、おいしそう。見た目もかわいくなりすぎ。
0015,スピアー,★★★★☆,コミカル寄りだが、こちらはリアルな蜂に近いかもしれない。
0016,ポッポ,★★★★☆,ポッポぽいが、なんとなくどこにでもいそうな小鳥。
0017,ピジョン,★★★☆☆,ポッポをそのまま大きくしただけで、どことなく迫力に欠ける。
0018,ピジョット,★★★★★,迫力満点な猛禽類になっており、実際にいたら怖いだろうな。
0019,コラッタ,★★★☆☆,ネズミポケモンが少ないので目立たないが、どこにでもいそうなネズミ。
0020,ラッタ,★★★★☆,ラッタの特徴である牙をむき出しにしているので、そういう意味では表現できている。
0021,オニスズメ,★☆☆☆☆,ポッポとの差別化ができていない。普通の小鳥感。オウムっぽさ？がない。
0022,オニドリル,★★★★★,鋭いくちばしを最大限に生かせている。
0023,アーボ,★★★★★,アーボ自体がどこにでもいそうなヘビなので、それを忠実に再現できている。
0024,アーボック,★★★★★,同じくアーボック自体がどこにでもいそうなコブラなので、それを忠実に再現できている。
0025,ピカチュウ,★★★★★,リアルな電気をまとったネズミを表現できている。
0026,ライチュウ,★★★★★,同じくリアルな電気をまとったネズミを表現できている。
0027,サンド,★★★★☆,リアルなアルマジロを表現できているが、２足歩行になってしまったのはちょっと残念。
0028,サンドパン,★★★☆☆,リアルなとげとげなアルマジロを表現できているが、２足歩行になってしまったのはちょっと残念。鋭い爪も生かせていない。
0029,ニドラン♀,★★★★★,なかなか表現が難しいポケモンだと思うが、現実にいそうな動物への置き換えが成功していると思う。
0030,ニドリーナ,★★☆☆☆,雰囲気は出ているが、ニドラン♀との差別化ができていない。
0031,ニドクイン,★★★★★,リアル化が難しいポケモンだと思うが、女王感が出ていて貫禄もある。
0032,ニドラン♂,★★★★☆,どことなく、ニドラン♀にも似ている。もっと差別化したい。
