No,名前,バージョン,評価,コメント
0387,ナエトル,1,,
0388,ハヤシガメ,1,,
0389,ドダイトス,1,,
0390,ヒコザル,1,,
0391,モウカザル,1,,
0392,ゴウカザル,1,,
0393,ポッチャマ,1,,
0394,ポッタイシ,1,,
0395,エンペルト,1,,
0396,ムックル,1,,
0397,ムクバード,1,,
0398,ムクホーク,1,,
0399,ビッパ,1,,
0400,ビーダル,1,,
0401,コロボーシ,1,,
0402,コロトック,1,,
0403,コリンク,1,,
0404,ルクシオ,1,,
0405,レントラー,1,,
0406,スボミー,1,,
0407,ロズレイド,1,,
0408,ズガイドス,1,,
0409,ラムパルド,1,,
0410,タテトプス,1,,
0411,トリデプス,1,,
0412,ミノムッチ,1,,
0413,ミノマダム,1,,
0414,ガーメイル,1,,
0415,ミツハニー,1,,
0416,ビークイン,1,,
0417,パチリス,1,,
0418,ブイゼル,1,,
0419,フローゼル,1,,
0420,チェリンボ,1,,
0421,チェリム,1,,
0422,カラナクシ,1,,
0423,トリトドン,1,,
0424,エテボース,1,★★★☆☆,進化前のエイパムとセットで生成。しっぽのインパクトが足りず、エイパムと似通った雰囲気になってしまった。
0425,フワンテ,1,,
0426,フワライド,1,,
0427,ミミロル,1,,
0428,ミミロップ,1,,
0429,ムウマージ,1,★★★★☆,進化前のムウマとセットでリアル方向で作成。ゴースト感を表現できているが、ヒラヒラ感が不足しているような感じ。
0430,ドンカラス,1,★★★★☆,進化前のヤミカラスとセットでリアル方向で作成。魔女の不気味さを演出しつつ、リアルなカラスが表現できているが、ちょっとイラスト寄り。
0431,ニャルマー,1,,
0432,ブニャット,1,,
0433,リーシャン,1,,
0434,スカンプー,1,,
0435,スカタンク,1,,
0436,ドーミラー,1,,
0437,ドータクン,1,,
0438,ウソハチ,1,★★★★☆,進化後のウソッキーと作成。石で作った作り物の木を表現できているが、目がアニメと異なり、怖い。
0439,マネネ,1,★★★★☆,進化後のバリヤードと作成。足が違和感あって、帽子の先の白丸がない。
0440,ピンプク,1,★★★★☆,進化ラインのラッキー、ハピナスと作成。リアルな質感で卵も自然な感じで描かれているが、おむつのような形状が再現できず、顔の形状もちょっと異なる。
0441,ペラップ,1,,
0442,ミカルゲ,1,,
0443,フカマル,1,,
0444,ガバイト,1,,
0445,ガブリアス,1,,
0446,ゴンベ,1,★★★★☆,進化後のカビゴンとセットで生成。まんまゴンベだが、マスコット感が強くなりすぎた。
0447,リオル,1,,
0448,ルカリオ,1,,
0449,ヒポポタス,1,,
0450,カバルドン,1,,
0451,スコルピ,1,,
0452,ドラピオン,1,,
0453,グレッグル,1,,
0454,ドクロッグ,1,,
0455,マスキッパ,1,,
0456,ケイコウオ,1,,
0457,ネオラント,1,,
0458,タマンタ,1,★★★★☆,良いクオリティになったが、ごつい、しっぽが不自然に出ている、色合いがちょっと違うところがある。
0459,ユキカブリ,1,,
0460,ユキノオー,1,,
0461,マニューラ,1,★★★★☆,進化前のニューラ作成時にマニューラっぽくなったものがあるので、それを採用。リアルな猫になっているが、ニューラっぽい要素もある。
0462,ジバコイル,1,★★★☆☆,形状が複雑であるためか、パーツの組み立て位置がいろいろと間違っており、磁石型ロボットの失敗作みたいな感じ。
0463,ベロベルト,1,★★★★☆,進化前のベロリンガと作成。メタボなサンショウウオを表現できたが、舌に違和感がある。
0464,ドサイドン,1,★★★☆☆,なんとなく、ドサイドンには見えるが、プロテクターのつけ方や表情が異なる箇所がある。
0465,モジャンボ,1,★★★★★,進化前のモンジャラと作成。産毛がリアルさを増長している。指をサツマイモで表現されているところが斬新。
0466,エレキブル,1,★★★★★,リアルな電気機械っぽい怪獣を見事に表現できてる。
0467,ブーバーン,1,★★☆☆☆,リアルな爆発系のメカを表現しようとしているが、ゴリラっぽくなり、アニメ版と異なる。
0468,トゲキッス,1,★★★☆☆,トゲキッスというのはわかるが、リアルな鳥に寄せすぎた感じ。妖精っぽさも欲しかったと思う。
0469,メガヤンマ,1,★★★★☆,進化前のヤンヤンマと作成。リアルなロボット型蜻蛉になっているが、インパクトが足りない感じ。
0470,リーフィア,1,★★★☆☆,神秘的な感じというより苔をつけすぎで汚らしさも出てしまった。これまでのブイズと比較して、植物との融合だったので難易度高。
0471,グレイシア,1,★★★★★,リアルな小動物を表現しつつ、冷たさやクールな表情を見事に表現できてる。
0472,グライオン,1,★★☆☆☆,サソリのハサミや尻尾を表現しようとしているが、それ以外は何が何だかわからない生物感。
0473,マンムー,1,★★★☆☆,なんとなく雰囲気は出ているが、鼻が象っぽくなり、イラストっぽくもなった。
0474,ポリゴンZ,1,★★★★☆,近未来っぽい雰囲気が出ているが、胴体と顔がつながっていたり、イラストっぽさも出ている。
0475,エルレイド,1,★★★★★,手がT字になっていないが、全体でカバーできていて完成度が高く、違和感なし。
0476,ダイノーズ,1,★★★★☆,再現度は高いが、鉄の土台に円柱磁石をはめ込む形にならず、どっしり感が少し足りない。
0477,ヨノワール,1,,
0478,ユキメノコ,1,,
0479,ロトム,1,,
0480,ユクシー,1,,
0481,エムリット,1,,
0482,アグノム,1,,
0483,ディアルガ,1,,
0484,パルキア,1,,
0485,ヒードラン,1,,
0486,レジギガス,1,,
0487,ギラティナ,1,,
0488,クレセリア,1,,
0489,フィオネ,1,,
0490,マナフィ,1,,
0491,ダークライ,1,,
0492,シェイミ,1,,
0493,アルセウス,1,,
